,0,1
3218,말하자면 내일 충청북도 괴산군 날씨 알려줄래,0
3219,혹시라도 모레 김제 덥니,0
3220,안산 횟집 알려줄래,1
3221,인기 많은 백반 알려주라,1
3222,아울러 내일 강원 평창군 미세먼지 알려줄래,3
3223,곡성 미세먼지 알려줄 수 있니,3
3224,양천구 근처 강 알려주라,2
3225,월요일 단양 황사 오겠지 글쎄,3
3226,서울 강서구 마스크 써야하니,3
3227,강원도 눈 오는지 알려줄래,0
3228,김해 우산 필요해,0
3229,수원 가볼만 한 관광지 알려줄래,2
3230,스파 하기 좋은 휴양지 추천해 줘,2
3231,수요일 상주 그러면 오존 올까,3
3232,혹시 오늘 영주 날씨 맑냐,0
3233,인생 사진 찍기 좋은 휴양지 알고싶어,2
3234,전주 공기 심하려나,3
3235,그니까 금산 공기 말해줘,3
3236,평택 공기 말해 주세요,3
3237,놀기 좋은 목욕 여행지 어디 있냐,2
3238,서울 은평구 규카 즈 알려주세요,1
3239,그럼 오늘 괴산 미세먼지,3
3240,수원 미세먼지 어떨까,3
3241,해운대 날씨,0
3242,노원구 괜찮은 김치 찜 어디 있냐,1
3243,청양 가기 좋은 명소 알려주라,2
3244,군위 횟집 추천해 주세요,1
3245,전라도 주변 강 어디 있니,2
3246,계룡 중국집 알고싶어,1
3247,그래도 이번 주 인천 미세먼지 황사 오니,3
3248,가까운 문학관 여행지 가보는 것 어때,2
3249,현재 옥천 설마 맑니,0
3250,아귀찜 유명한 곳 말해줘 ㅋㅋ,1
3251,가평 날씨 알려줘,0
3252,서울 도봉구 맥주 맛집 추천해 주세요,1
3253,놀기 좋은 승마 휴양지 알려주라,2
3254,부산 영등포구 횟집 알려주라,1
3255,김포 들려야 하는 명소 어디 있니,2
3256,속초 공기 미세먼지,3
3257,이번 주 인천 날씨 눈 오니 ㅎㅎㅎ,0
3258,국밥집 어디,1
3259,전라남도 근처 단풍 추천해 주세요,2
3260,영월 괜찮은 식당 추천해 주라,1
3261,서천 맑으려나,0
3262,광주 미세먼지 마스크 쓸까,3
3263,안산 미세먼지 어떤지 부탁 합니다,3
3264,충청북도 근처 휴양지 알려줄래,2
3265,문경 공기 미세먼지,3
3266,그러면 홍성 해장국 식당 어디 있니,1
3267,양주 구경 하기 좋은 관광지 어디 있냐,2
3268,최고 사진 찍기 좋은 여행지 어디 있니,2
3269,김해 들려 봐야 하는 시장 알려주세요,2
3270,경기도 오존 어떤지 알려주라,3
3271,참 맞다 진도 비오냐,0
3272,창녕 꼭 가봐야 하는 명소 ㅋㅋ 어디,2
3273,진도 가는데 날씨 알려줄래,0
3274,무안 우산 써야하니,0
3275,서울 강북구 우동 맛집 알고싶어,1
3276,그러면 오늘 미세먼지 알려줘,3
3277,서울 송파구 날씨 맑니,0
3278,경상도 놀기 좋은 구경거리 어디 있니,2
3279,충청도 근처 폭포 추천해 주세요,2
3280,도봉구 근처 여행지 어디 있냐,2
3281,서울 중구 미세먼지 맑니,3
3282,유명한 경기장 여행지 알려줘,2
3283,가평 공기,3
3284,화성 꼭 가봐야 하는 명소 알려줘,2
3285,단양 빵 알고싶어 ㅎㅎ,1
3286,영광 공기 공기상태,3
3287,내일 경기도 부천 미세먼지 말해줘,3
3288,서초구 베이컨 맛집 어떨 것 같은데,1
3289,먹구름 어떨 것 같아,0
3290,그러면 여수 비 오는지 말해 줘주세요,0
3291,태백 꼭 들려야 하는 명소 어디 있니,2
3292,오늘 전라남도 여수 미세먼지 말해줘 ㅋㅋ,3
3293,태백 눈 오냐,0
3294,순창 죽집 추천해 주세요,1
3295,홍천 미세먼지,3
3296,금천구 들려야 하는 명소 추천해 주라,2
3297,수원 샐러드 바 알려주세요,1
3298,옥천 김밥 맛집 알고싶어,1
3299,칠곡 마스크 필요하냐,3
3300,아름다운 셀카 촬영 할만 한 휴양지 어디 있냐,2
3301,보은 마스크 챙길까,3
3302,서울 양천구 맑니,0
3303,이제 서울 구로구 공기상태,3
3304,수원 미세먼지,3
3305,관광지 주변 갈대 어디 있니,2
3306,최고 사진 찍을만한 휴양지 알려줘,2
3307,양양 날씨 흐릴까,0
3308,정읍 마스크 필요해,3
3309,제일 맛있는 백반 추천해 주세요,1
3310,셀카 찍기 좋은 여행지 어디 있냐,2
3311,장흥 갈비 맛집 추천해 주세요,1
3312,일요일 금산 그럼 우산 챙길까,0
3313,목요일 음 철원 공기 미세먼지,3
3314,서울 영등포구 중국집 추천해 주세요,1
3315,서울 구로구 날씨 흐릴까,0
3316,충청북도 근처 벚꽃 알고싶어,2
3317,화덕구이 요리 궁금해요,1
3318,양양 날씨 어떠냐,0
3319,양천구 치킨 집 어디 있니,1
3320,충청도 주변 경치 추천해 줘,2
3321,양천구 제일 맛있게 하는 카페 알려주라,1
3322,은평구 주변 휴양지 추천해 줘,2
3323,함안 방송 나온 빵 추천 해주라,1
3324,하동 맛있게 하는 뷔페 추천 해주라,1
3325,하여튼 내일 미세먼지 알려줘,3
3326,진도 가봐야 하는 관광지 알려주세요,2
3327,맛있게 하는 연어 추천해 주세요,1
3328,오뎅탕 잘하는 음식점 어디니,1
3329,관광지 주변 바닷가 어디 있냐,2
3330,제주도 주변 계곡 알려주라,2
3331,광명 날씨 덥냐,0
3332,유명한 닭꼬치 추천해 주세요,1
3333,영등포구 인기 있는 곱창 집 알려주라,1
3334,근처 제일 맛있게 하는 맛집 알려주라,1
3335,아무튼 오늘 계룡시 공기 뭐야,3
3336,관광 해볼만 한 래프트 휴양지 어디 있니,2
3337,영덕 구경 할만 한 명소 추천해 주세요,2
3338,고흥 미세먼지 어떨까,3
3339,보령 꼭 가봐야 하는 명소 알려주세요,2
3340,구미 공기 어떠려나,3
3341,영덕 공기 공기,3
3342,가까운 선탠 여행지 추천해 주라,2
3343,서초구 빵집 어디 있냐,1
3344,전라북도 미세먼지 어떤지 알려줄 수 있니,3
3345,양평 샐러드 바 추천해 주라,1
3346,한편 내일 강원 삼척시 미세먼지 알려줄래,3
3347,강원도 주변 여행지 추천해 주라,2
3348,서울 서초구 맛집 어딜까,1
3349,그럼 부산 이번 주 미세먼지 맑은지 알려줄래,3
3350,화성 연어 알고싶어,1
3351,영광 황사 오니,3
3352,옥천 볼 만 한 명소 알고싶어,2
3353,근처 제일 맛있는 맛집 추천해 주라,1
3354,목포 궁금해,3
3355,임실 먼지 공기,3
3356,영주 미세먼지,3
3357,제천 우산 가져가야하니,0
3358,근처 매운탕 음식점 어디,1
3359,양천구 괜찮게 하는 쌀국수 어디 있냐,1
3360,김포 구경 하기 좋은 관광지 알고싶어,2
3361,예천 혹시 미세먼지,3
3362,전라남도 근처 여행지 알려주세요,2
3363,그러면 내일 충청북도 음성군 날씨 알려줄래,0
3364,강서구 괜찮은 분식 알려줘,1
3365,목요일 하 서천 미세먼지,3
3366,금천구 잘 하는 새우 추천해 줘,1
3367,신안 미세먼지 어떨까,3
3368,꽃구경 해보고 싶네,2
3369,양구 음식점 원조 어딜까요,1
3370,의왕 공기 어떠냐,3
3371,수요일 함안군 미세먼지 어때,3
3372,장수 날씨 흐리니,0
3373,안성 꼭 가봐야 하는 관광지 추천해 주세요,2
3374,모레 날씨 궁금해,0
3375,함양 가기 좋은 명소 어디 있냐,2
3376,강북구 돈까스 집 알려주세요,1
3377,당진 꼭 들려야 하는 관광지 알려주라,2
3378,서울 종로구 눈 올까,0
3379,제주 죽집 추천해 줘,1
3380,김제 베이커리 알려주라,1
3381,창녕 고깃집 추천해 주세요,1
3382,고령 미세먼지 심할지 말해 줘봐,3
3383,서울 영등포구 마스크 써야 할까,3
3384,무주 날씨 궁금한데 알려주겠니,0
3385,강원도 눈 올지 알고싶어,0
3386,전라도 근처 벚꽃 추천해 줘,2
3387,충청남도 근처 단풍 알려주라,2
3388,서울 노원구 우산 필요해,0
3389,거창 잘하는 먹거리 곱창집,1
3390,ㅇㅇ 하동 미세먼지 어떤지 부탁 합니다,3
3391,이제 주변 소문난 식당 알려주라,1
3392,과자 간식 본점 어디니,1
3393,찜닭 맛집 추천해줘,1
3394,대구탕 화제 맛집 알려줘,1
3395,논산 덥니,0
3396,경기도 주변 강 어디 있냐,2
3397,고창 인기 많은 새우 튀김 추천해 주라,1
3398,서울 광진구 날씨 어떠니,0
3399,경상북도 근처 산책로 어디 있냐,2
3400,나 이번 달 남자친구랑 놀러 가는데 어디 좋아,2
3401,강동구 인기 있는 치킨 알려주세요,1
3402,오늘 동해시 여행 가는데 미세먼지 알려줘,3
3403,깨끗한 바다 없나,2
3404,신안 그러면 날씨 더울까,0
3405,음식점,1
3406,이번 주 대구 바람 많이 부는지 알려줘,0
3407,12월 14일 울산 미세먼지 뭔데,3
3408,곡성 맛있게 하는 식당 알려줘,1
3409,시흥 우산 필요하냐,0
3410,시흥 그럼 마스크 챙겨야 할까,3
3411,강릉 맑니,0
3412,성북구 삼겹살 집 알고싶어,1
3413,영동 날씨 맑을까,0
3414,구로구 잘 하는 순대 추천해 줘,1
3415,부산시 종루구 미세먼지 알려줄래,3
3416,고창 가봐야 하는 관광지 알려줘,2
3417,해남 먼지 어떤지 알려주세요,3
3418,평창 꼭 들려야 하는 숙박 알려주세요,2
3419,서울 마포구 눈 오니,0
3420,잘 하는 알밥 추천해 주세요,1
3421,그니까 이번 주 대구 날씨 비 오는지 알려줘,0
3422,서울 미세먼지 심할지 알려줄 수 있니,3
3423,경기도 근처 꽃 알고싶어,2
3424,군산 우산 필요할까,0
3425,내일 강원도 인제군 여행 가는데 날씨 알려줄래,0
3426,포천 마스크 필요하냐,3
3427,창녕 춥냐,0
3428,음 화천 공기 미세먼지,3
3429,청주 피자 맛집 추천해 줘,1
3430,경기도 들려야 하는 관광지 알려주세요,2
3431,강동구 우동 집 알려주라,1
3432,진주 관광 해볼만 한 민속촌 알려주라,2
3433,경상도 주변 경치 어디 있냐,2
3434,경상도 주변 바닷가 어디 있냐,2
3435,여행 가는데 먼지 많이 심할까,3
3436,속초 가기 좋은 관광지 알려줄래,2
3437,김해 우산 필요하냐,0
3438,다음 주 미세먼지 알려줘,3
3439,밀양 인기 많은 볶음밥 알려주라,1
3440,지금 남원 미세먼지 상태 미세먼지,3
3441,부산 도봉구 마스크 챙겨야 할까,3
3442,하남 날씨 맑냐,0
3443,경상남도 주변 휴양지 추천해 줘,2
3444,울진 관광 해볼만 한 관광지 알려주라,2
3445,의정부 미세먼지,3
3446,타코 가게 알려줘,1
3447,김천 더우려나,0
3448,원주 삼겹살 맛집 추천해 줘,1
3449,광진구 주변 해변 알려주라,2
3450,전라도 주변 산책로 어디 있니,2
3451,콩나물 국밥 먹고싶은데 레스토랑 있니,1
3452,서울 종로구 비오니,0
3453,영양 미세먼지,3
3454,정선 춥니,0
3455,경기도 초미세먼지 어떤지 알 수 있을까,3
3456,영천 베이커리 어디 있니,1
3457,모레 전북 우비 입어야 하니,0
3458,아 서울 용산구 공기 미세먼지,3
3459,청송 마스크 쓸까,3
3460,산청 마스크 챙길까,3
3461,태안 날씨 흐릴까,0
3462,이제 주변 맛있게 하는 맛집 추천해 줘,1
3463,통영 곱창 맛집 추천해 주라,1
3464,인사동 진짜 좋은 곳 알려주겠니,2
3465,군포 마스크 챙겨야해,3
3466,영천 유명한 명소 알려주세요,2
3467,지금 공기 미세먼지,3
3468,의왕 날씨 맑니,0
3469,곡성 우산 챙겨야 할까,0
3470,마포구 죽집 추천 해줘,1
3471,막창 어디지 배고파,1
3472,유명한 스키장 어디 있죠,2
3473,유명한 거리 어디지,1
3474,응 내일 전라북도 남원시 날씨 알려줄래,0
3475,중랑구 돈까스 집 추천 해주라,1
3476,박물관 있니,2
3477,경기도 주변 단풍 추천해 줘,2
3478,금산 볼 만 한 야구장 알려주세요,2
3479,서울 도봉구 미세먼지 심할까,3
3480,구미 맑을까,0
3481,과천 미세먼지,3
3482,성동구 제일 맛있는 호두과자 알고싶어,1
3483,면 음식 잘하는 식당 갈까,1
3484,경상북도 근처 휴양지 추천해 줘,2
3485,충청북도 비 올지 알려줄래,0
3486,남양주 술집 알고싶어,1
3487,매운 불고기 식당 추천 좀,1
3488,오산 유명한 샐러드 추천해 줘,1
3489,제주도 근처 폭포 알고싶어,2
3490,영덕 유명한 수산시장 추천 해주세요,2
3491,금천 근처 바닷가 어디 있냐,2
3492,가평 맑냐,0
3493,전라북도 비 올지 말해 줘줘,0
3494,7월 4일 오존 와,3
3495,여주 미세먼지 어떨까,3
3496,광진구 괜찮은 비빔밥 알고싶어,1
3497,안양 덥냐,0
3498,이번 주 보령 날씨 줘,0
3499,그러니까 인천 날씨 알려줘,0
3500,혹시 모레 함안 맑을까,0
3501,수원 날씨 흐리냐,0
3502,인천 토요일 날씨 궁금해요,0
3503,상주 갈만 한 명소 알려줄래,2
3504,인기 있는 떡볶이 맛집,1
3505,부여 우산 쓸까,0
3506,추억 사진 촬영 할만 한 휴양지 알려줘,2
3507,군산 내일 마스크 써야 하니,3
3508,갈만 한 선탠 휴양지 알려주세요,2
3509,강원도 근처 해변 어디 있냐,2
3510,토요일 마스크 챙길까,3
3511,이천 심하니,3
3512,평택 닭꼬치 맛집 추천해 주라,1
3513,아무튼 오늘 계룡시 날씨 뭐야,0
3514,감자탕 먹고싶어,1
3515,영암 비 올까,0
3516,서울 강남구 우산 쓸까,0
3517,거금도 넓은 방있는 호텔,2
3518,시흥 마스크 챙겨야해,3
3519,진도 활어 회 원조,1
3520,목살 추천해 주라,1
3521,과천 볶음밥 알려줄래 ㅋㅋ,1
3522,그니까 내일모레 서울시 성북 미세먼지 알려줄래,3
3523,태안 공기 미세먼지,3
3524,좋은 셀카 찍을만한 휴양지 알려줄래,2
3525,경주 공기 미세먼지,3
3526,고창 맑니,0
3527,그럼 강남 미세먼지 미세먼지,3
3528,아름다운 사진 촬영 할만 한 휴양지 추천해 주세요,2
3529,부산 이번 주 여행 가는데 공기 맑은지 알려줄래,3
3530,서대문구 맛있게 하는 비빔냉면 어디 있니,1
3531,진도 우산 챙길까,0
3532,성남 미세먼지 알려줘,3
3533,문경 날씨 덥냐,0
3534,잡채 잘하는 곳 추천해줘,1
3535,이천 돈까스 맛집 어디 있냐,1
3536,서울 용산구 삼겹살 맛집 어디 있냐,1
3537,밀양 먼지 심할지 부탁 해,3
3538,전라북도 근처 휴양지 추천해 주라,2
3539,일요일 음 화천 날씨 맑니,0
3540,이번 주 부산 날씨 알려줘,0
3541,경기도 주변 해변 알려줄래,2
3542,수원 오늘 날씨 궁금해,0
3543,마스크 쓸까 말해줘,3
3544,울산 마스크 챙길까 고민 돼,3
3545,꽃구경 추천받고 싶네,2
3546,아 이번 주 대구 미세먼지 어떨까 어떤지 알려줘,3
3547,미세먼지 스모그 논산시,3
3548,다음 주 마스크 쓰기 싫어,3
3549,합정동 찜닭 요리 알려줘,1
3550,그럼 오늘 청도 날씨 춥냐,0
3551,김제 들려야 하는 먹거리 추천 해주라,2
3552,울산 영등포구 마스크 챙겨야 할까,3
3553,강남구 날씨 알려주세요,0
3554,예산 여행 가는데 육회 레스토랑 어디 있냐,1
3555,서울 중랑구 날씨 춥냐,0
3556,갈만한 대구 스키 관광지 추천해 주세요,2
3557,광주 중랑구 마스크 필요할까,3
3558,고령 횟집 알려주라,1
3559,서울 눈 올지 알려주세요,0
3560,함양 관광 해볼만 한 목욕탕 어디 있니,2
3561,완주 닭꼬치 집 어디 있냐,1
3562,전라남도 근처 산 어디 있니,2
3563,거제 튀김 어디 있니,1
3564,용인 들려야 하는 명소 알려주라,2
3565,오산 마스크 챙겨야 하니,3
3566,오늘 평창 마스크 써야 할까,3
3567,영암 갈만 한 전망대 알고싶어,2
3568,성북구 인기 많은 국밥 알려줄래,1
3569,광명 마스크 필요하니,3
3570,완도 마스크 써야하니,3
3571,수원 미세먼지,3
3572,근처 제일 맛있게 하는 맛집 알고싶어,1
3573,성남시 분당구 미세먼지 알려주세요,3
3574,그러니까 이번 주 인천 미세먼지 황사 오니,3
3575,서울 용산구 분식 어디 있니,1
3576,인제 볼 만 한 관광지 알고싶어,2
3577,오존 없으려나,3
3578,양구 샐러드 바 알려주라,1
3579,산악 자전거 하러 가기 좋은 휴양지 어디 있냐,2
3580,양구 날씨 맑냐,0
3581,안산 볼 만 한 관광지 알려줄래,2
3582,이번 주 용인 미세먼지 알려주세요,3
3583,군산 맑냐,0
3584,제주도 주변 단풍 알고싶어,2
3585,경주 미세먼지,3
3586,마스크 챙겨야하나 모르겠네,3
3587,아 그러면 먼지 알려주세요,3
3588,서울 강서구 날씨 어때,0
3589,제주도 주변 강 알고싶어,2
3590,그니까 충남 태안 날씨 말해줄래,0
3591,노원구 미세먼지 심할지 알려줄래,3
3592,충청도 미세먼지 심할지 말해 주라,3
3593,포항 그럼 공기 미세먼지,3
3594,오늘 인제 도토리 묵 먹거리 추천해줘,1
3595,의정부 오늘 미세먼지 알려줘,3
3596,영암 우산 써야하니,0
3597,완산구 뭐 있지 볼만한 거,2
3598,광주 관광 해볼만 한 리조트 알려줄래,2
3599,군산 우동 집 알려주세요,1
3600,의성 관광 할만 한 명소 추천 해주세요,2
3601,모레 전주 미세먼지 알려줘,3
3602,청송 공기 공기상태,3
3603,거창 꼭 가봐야 하는 경기장 어디 있니,2
3604,먼지 알려주세요 궁금해요,3
3605,금요일 오산 오존 심하겠지 글쎄,3
3606,정읍 흐리냐,0
3607,홍천 유명한 명소 추천 해줘,2
3608,서울 강남구 월남쌈 알려줘,1
3609,아무튼 해남 우산 필요할까,0
3610,울산 동대문구 미세먼지 심할까,3
3611,모레 서천 혹시 눈 올까,0
3612,추억 사진 찍기 좋은 휴양지 추천해 줘,2
3613,경기도 근처 폭포 어디 있니,2
3614,유명한 스키장 가고 싶어,2
3615,안양 미세먼지,3
3616,양양 마스크 필요하냐,3
3617,서울 중구 비 올까,0
3618,무주 눈 올지 알려줄 수 있니,0
3619,유명한 산 여행지 알고 싶어,2
3620,야 안동 눈 오니,0
3621,미추홀 마스크 챙겨야 할까,3
3622,경상도 근처 꽃 어디 있니,2
3623,경상남도 맛 나게 하는 수제 버거 알려줄래,1
3624,천안 샐러드 바 추천해 주라,1
3625,영주 덥니,0
3626,여수 김밥 집 알려주세요,1
3627,청주 가는데 모레 날씨 어때,0
3628,울릉 아하 공기 미세먼지,3
3629,경상남도 주변 꽃 알려주세요,2
3630,해운대 날씨 춥냐,0
3631,제주 눈 오는지 알려줄 수 있니,0
3632,완주 날씨 맑냐,0
3633,태백 미세먼지 어떨까,3
3634,관광지 주변 꽃 어디 있냐,2
3635,가까운 에버랜드 위치 모르겠어,2
3636,해남 공기 미세먼지,3
3637,화순 소문난 소고기 어디 있니,1
3638,구리 치킨집 알고싶어,1
3639,보길도 가는데 미세먼지 알려줘,3
3640,하동 우산 가져가야하니,0
3641,장흥 마스크 필요하냐,3
3642,경상북도 잘 하는 연어 추천 해줘,1
3643,안동 날씨 맑을까,0
3644,문경 방송 나온 알밥 알려줄래,1
3645,화성 미세먼지 알아봐줘,3
3646,방송 나온 새우 튀김 어디 있니,1
3647,알았고 여주 놀 만 한 관광지 알고싶어,2
3648,예천 떡갈비 집 알려주세요,1
3649,금산 먼지 어떤지 말해 줘봐,3
3650,관악구 베이커리 어디 있니,1
3651,월요일 인제 미세먼지,3
3652,횡성 맥주 집 어디 있니,1
3653,창녕 꽃가루 심하니,3
3654,광진구 미세먼지 말해줘,3
3655,그러면 횡성군 날씨 알려줄래,0
3656,꼭 들려야 하는 벚꽃 놀이 여행지 알고싶어,2
3657,평창 우산 필요하냐,0
3658,서울 영등포구 마스크 필요하냐,3
3659,제천 공기 공기,3
3660,무주 삼겹살 맛집 알려줄래,1
3661,제주도 근처 산 알려주라,2
3662,관악구 죽집 알려주세요,1
3663,부천 자장면 음식점 먹고 싶은데,1
3664,내일모레 날짜 경기도 안양 미세먼지 알려줘,3
3665,성주 가봐야 하는 명소 알려주라,2
3666,전주 기온 어떤지 말해줘,0
3667,제천 미세먼지 어떠니,3
3668,가기 좋은 서핑 휴양지 어디 있냐,2
3669,강원도 근처 경치 알고싶어,2
3670,고성 미세먼지,3
3671,전라남도 주변 휴양지 알려줄래,2
3672,추억 사진 촬영 할만 한 여행지 알려줄래,2
3673,미추홀 날씨 어떠니,0
3674,충청남도 미세먼지 알려주라,3
3675,과천 들려 봐야 하는 음악회 어디 있니,2
3676,근처 괜찮은 식당 알려줘,1
3677,오늘 홍천군 미세먼지 알려줘 좀,3
3678,성동구 김밥 집 어디 있니,1
3679,칠곡 이제 마스크 필요할까,3
3680,영암 그러면 우산 쓸까,0
3681,보은 샐러드 바 알려줘,1
3682,월계동 미세먼지 궁금해요,3
3683,전라북도 주변 해변 알려주라,2
3684,강원도 주변 벚꽃 알고싶어,2
3685,그러면 영동 갈비 추천해 줘,1
3686,순천 맑니,0
3687,양파 볶음 맛 좋은 곳 어디,1
3688,미세먼지 마스크 필요하냐,3
3689,광주 서대문구 마스크 필요해,3
3690,보은 날씨 맑니,0
3691,부산 관악구 뷔페 추천해 줘,1
3692,놀이공원 여행지 있어,2
3693,현재 미세먼지 어때,3
3694,인생 사진 찍을만한 휴양지 알려주세요,2
3695,서울 금천구 미세먼지 심할까,3
3696,천안 제일 맛있는 고깃집 추천 해주라,1
3697,당진 먼지 어떤지 말해 줘봐,3
3698,그러면 양양 맥주집 알고싶어,1
3699,양평 공기 미세먼지,3
3700,전라남도 주변 갯벌 알고싶어,2
3701,서울 강서구 날씨 더울까,0
3702,파주 12월 13일 날씨 ㅎ,0
3703,내일모레 군위 날씨 궁금해,0
3704,여주 꼭 가봐야 하는 야구장 추천 해주세요,2
3705,오늘 우산 써야 하니,0
3706,제주도 근처 휴양지 추천해 주세요,2
3707,중구 근처 폭포 추천해 주라,2
3708,동두천 날씨 흐리니,0
3709,전라도 근처 휴양지 알려줘,2
3710,경상북도 주변 여행지 어디 있냐,2
3711,아 광주 이번 주 눈 오려나,0
3712,김제 갈만 한 명소 어디 있니,2
3713,평창 횟집 추천해 주라,1
3714,꽃 축제 열리는 곳 알려줘,2
3715,용산 맑냐,0
3716,부산 이번 주 바람 부니,0
3717,하여튼 괴산 팔보채 어디 있니,1
3718,그러면 경산 파전 맛집 추천해 주세요,1
3719,구미 우산 써야하니,0
3720,춘천 마스크 필요해,3
3721,셀카 찍 수 있는 여행지 어디 있니,2
3722,경상남도 근처 단풍 알고싶어,2
3723,양구 음식점 원조 어딜까요,1
3724,송파구 소문난 새우 튀김 알려주세요,1
3725,서산 눈 올려나,0
3726,나 궁금한데 미세먼지 알려줘,3
3727,전라북도 주변 여행지 어디 있니,2
3728,게다가 장수 흐리니,0
3729,영주 덥냐,0
3730,내일 안성 공기 미세먼지,3
3731,고창 날씨 어떻다,0
3732,결국 내일모레 고성 먼지 말해줘,3
3733,전라북도 근처 갈대 추천해 주라,2
3734,횡성 라멘 맛집 추천해 주세요,1
3735,아름다운 사진 찍기 좋은 여행지 추천해 줘,2
3736,영천 날씨 맑니,0
3737,서울 관악구 날씨 흐리냐,0
3738,철원 술집 추천해 주세요,1
3739,동두천 인기 있는 새우 튀김 추천 해주세요,1
3740,상주 마스크 쓸까,3
3741,시청 가는데 근처 황사 궁금해,3
3742,부산 동작구 라멘 집 알고싶어,1
3743,그러면 공주 콩나물 국밥 맛집 알려주라,1
3744,충청남도 근처 경치 알고싶어,2
3745,홍천 들려 봐야 하는 숙박 알려주세요,2
3746,경상도 주변 산책로 추천해 줘,2
3747,먼지 너무 많이 없나,3
3748,중구 날씨 알려줘,0
3749,안양 분식 어디 있니,1
3750,포천 날씨 좋니,0
3751,제천 맑을까,0
3752,이번 주 과천 황사 오니,3
3753,충청남도 주변 산책로 추천해 줘,2
3754,육회 추천해 줘,1
3755,광주 영등포구 미세먼지,3
3756,미세먼지 알려주세요,3
3757,의왕 공기 미세먼지,3
3758,서대문구 인기 많은 수제 버거 알고싶어,1
3759,목욕 휴양지 추천해 줘,2
3760,홍천 덥냐,0
3761,도봉구 미세먼지 말해 주라,3
3762,좋은 사진 찍기 좋은 여행지 추천해 ㅇㅇ,2
3763,아니 충남 당진 날씨 말해줄래,0
3764,포천 날씨 맑니,0
3765,영암 이제 마스크 쓸까,3
3766,홍성 비 올까,0
3767,장흥 꼭 가봐야 하는 전당 알고싶어,2
3768,강진 유명한 아구찜 알고싶어,1
3769,태안 마스크 써야하니,3
3770,군위 심하려나,3
3771,상주 놀 만 한 관광지 어디 있니,2
3772,응 울산 이번 주 비 오니,0
3773,춘천 맑니,0
3774,제주도 근처 여행지 알려주세요,2
3775,갈만 한 낚시 휴양지 추천해 주세요,2
3776,근처 잘 하는 맛집 알고싶어,1
3777,강진 오존 미세먼지,3
3778,마스크 쓸까,3
3779,구미 미세먼지,3
3780,상주 미세먼지,3
3781,좋은 셀카 찍기 좋은 휴양지 알려주라,2
3782,담양 뷔페 알고싶어,1
3783,광주 이번 주 눈 오려나 ㅋㅋ,0
3784,경상북도 눈 오는지 알려줄 수 있니,0
3785,제주도 근처 갈대 추천해 주세요,2
3786,서울 금천구 날씨 맑냐,0
3787,서울 관악구 곱창 맛집 추천해 주라,1
3788,임실 수요일 혹시 마스크 써야하나,3
3789,그니까 서울 서대문구 공기 미세먼지,3
3790,구미 샐러드 바 알려줘,1
3791,인제 관광 해볼만 한 명소 어디 있냐,2
3792,남원 날씨 맑을까,0
3793,부산 회 맛집 궁금해,1
3794,동해 놀 만 한 명소 추천 해줘,2
3795,구미 가까운 물 놀이 어디 있니,2
3796,함평 날씨 맑니,0
3797,관광지 주변 계곡 알려주세요,2
3798,공기 미세먼지 좋니,3
3799,경주 공기 미세먼지,3
3800,이번 주 인천 날씨 눈 오니,0
3801,해남 미세먼지,3
3802,결국 내일모레 고성 날씨 말해줘,0
3803,서산 마스크 필요해,3
3804,곡성 오믈렛 원조,1
3805,경상북도 주변 여행지 알려주세요,2
3806,기사식당 괜찮은 곳,1
3807,방송 나온 삼겹살 알고싶어,1
3808,이태원 짬뽕집 식당 음식점,1
3809,보은 제일 맛있게 하는 닭꼬치 어디 있냐,1
3810,영광 날씨 춥니,0
3811,파주 날씨 흐리니,0
3812,인기 많은 햄버거 어디 있냐,1
3813,성미산 가는데 근처 황사 미세먼지,3
3814,파주 우산 가져갈까,0
3815,산청 가봐야 하는 전당 추천 해주라,2
3816,서울 눈 올지 알려줄래,0
3817,남원 곱창 집 알고싶어,1
3818,이제 영천 유명한 관광지 알려줄래,2
3819,내일 하 신안 덥니,0
3820,경상도 주변 벚꽃 추천해 주세요,2
3821,관악구 잘 하는 죽집 알려주세요,1
3822,모레 영동 미세먼지,3
3823,중랑구 빵집 알려주세요,1
3824,성북구 제일 맛있게 하는 죽집 알려줄래,1
3825,정선 관광 해볼만 한 호텔 알고싶어,2
3826,서울 동작구 괜찮게 하는 우동 집 알려주세요,1
3827,남원 유명한 감자탕 추천해 주세요,1
3828,안성 미세먼지,3
3829,ㅋㅋ 천안 공기 말해줘,3
3830,서울 강북구 날씨 더울까,0
3831,그리고 다음 주 전주 미세먼지 심하려나,3
3832,남원 들려 봐야 하는 명소 추천해 주세요,2
3833,공연장 몰라서 문젠데,2
3834,서울 동대문구 중국집 알려줄래,1
3835,유명한 돼지고기 짜글이 어딜까,1
3836,거창 미세먼지,3
3837,인생 셀카 찍기 좋은 여행지 어디 있니,2
3838,보성 라멘 맛집 추천해 주라,1
3839,월요일 순창 황사 오면 안되는데,3
3840,다음 주 전주 비 오려나,0
3841,포항 라멘 맛집 어디 있니,1
3842,벚꽃 축제 가봐야 하는데,2
3843,전라남도 근처 폭포 추천해 줘,2
3844,월요일 마스크 챙길까,3
3845,김해 꼭 들려야 하는 관광지 알려주라,2
3846,화천 ㅋㅋ 미세먼지,3
3847,정읍 술집 어디 있니,1
3848,지금 경부 지방 먼지 많이 없니,3
3849,해남 맥주 맛집 추천해 줘,1
